,age,workclass,fnlwgt,education,education-number,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
4231,64,4,143880,9,13,2,8,0,4,1,0,0,40,37,1
4235,37,3,334291,9,13,0,12,1,4,1,0,0,50,37,0
4247,43,0,79529,11,9,2,0,5,4,0,0,0,35,37,0
4250,33,4,427812,9,13,2,8,0,4,1,0,0,15,24,0
4251,59,3,172618,0,6,2,2,0,4,1,0,0,50,37,0
4254,22,3,104164,8,11,4,4,1,4,1,0,0,35,37,0
4255,45,3,180680,1,7,2,2,0,4,1,0,0,35,37,0
4261,48,3,221464,1,7,2,3,5,4,0,0,0,30,37,1
4262,31,3,213307,0,6,2,7,5,4,0,0,0,28,24,0
4266,60,3,285365,15,10,2,7,5,2,0,0,0,50,37,0
4271,32,4,19513,12,14,4,8,1,1,0,0,0,40,22,0
4272,57,3,258121,9,13,2,3,0,4,1,0,0,50,37,0
4282,34,1,126584,9,13,2,3,0,4,1,0,0,45,37,0
4283,72,3,28865,5,4,2,12,0,4,1,0,0,14,37,0
4287,57,2,146103,11,9,2,10,0,4,1,15024,0,30,37,1
4299,63,1,214275,11,9,0,7,4,2,0,0,0,55,37,0
4300,49,1,371886,8,11,2,9,0,4,1,0,0,56,37,1
4313,43,2,677398,9,13,2,10,0,4,1,0,0,45,37,1
4314,26,3,263300,7,12,2,4,0,4,1,0,0,75,37,0
4315,47,0,218325,7,12,2,5,0,1,1,0,0,40,28,1
4316,37,1,156261,12,14,2,8,5,4,0,0,0,50,37,1
4319,39,3,245361,15,10,4,8,3,4,0,0,0,10,37,0
4320,45,0,230685,10,16,2,8,0,4,1,0,0,40,37,1
4322,37,1,116736,11,9,2,2,0,4,1,0,0,40,37,0
4331,74,2,148003,9,13,2,0,5,4,0,0,0,6,37,1
4334,33,1,184440,2,8,4,6,1,4,1,0,0,36,37,0
4337,53,0,109982,15,10,0,0,1,4,0,0,0,40,37,0
4338,44,3,205033,2,8,2,3,0,4,1,0,0,55,37,1
4339,32,1,56658,11,9,4,12,1,0,1,0,0,40,37,0
4342,33,1,107417,12,14,2,8,0,4,1,0,0,40,37,1
4346,39,3,113749,6,5,2,2,0,4,1,0,0,40,37,0
4353,46,1,32290,15,10,2,7,0,4,1,0,0,40,37,0
4357,30,4,127610,8,11,4,8,1,4,0,0,0,40,37,0
4365,24,1,234108,15,10,4,9,1,4,1,0,0,40,37,0
4368,35,3,107662,11,9,4,7,4,4,0,0,0,5,1,0
4370,46,1,88564,15,10,2,5,0,4,1,0,0,40,37,0
4371,44,2,144778,15,10,2,3,0,4,1,0,0,50,37,1
4375,18,3,194091,1,7,4,4,3,4,1,0,0,24,37,0
4377,53,0,321865,12,14,2,3,0,4,1,0,0,40,37,1
4382,58,3,115439,12,14,2,10,0,4,1,0,0,40,37,1
4393,46,1,301124,12,14,4,8,1,4,0,0,1564,45,37,1
4397,33,1,111817,9,13,4,8,1,4,0,0,0,40,37,0
4399,23,3,121407,11,9,4,5,3,4,0,0,0,35,37,0
4400,40,1,210275,11,9,4,0,2,2,0,0,0,40,37,0
4405,30,1,370990,12,14,4,8,1,4,0,0,0,45,37,0
4407,38,4,34493,15,10,0,3,4,4,0,0,0,40,37,0
4410,62,3,96299,9,13,2,10,0,4,1,0,0,40,37,1
4413,44,4,128586,9,13,4,4,1,4,1,0,0,40,37,0
4414,30,4,185590,9,13,4,3,3,4,0,0,0,40,37,0
4415,28,3,107458,11,9,4,2,3,4,1,0,0,45,37,0
4417,26,4,413846,9,13,4,3,1,4,1,0,0,40,37,0
4419,44,3,110028,15,10,0,6,1,4,1,0,0,40,37,0
4421,40,4,67874,12,14,2,8,0,4,1,0,0,58,37,0
4422,50,3,169112,15,10,2,8,0,4,1,0,0,25,37,0
4423,37,2,154410,11,9,2,2,0,4,1,0,0,60,37,1
4430,33,4,160261,9,13,2,3,0,1,1,0,0,40,28,0
4432,26,4,291586,11,9,0,12,4,4,1,0,0,40,37,0
4433,77,3,184046,9,13,6,8,1,4,0,0,0,20,37,0
4434,25,0,178025,15,10,4,3,3,4,1,0,0,9,37,0
4438,39,3,327120,11,9,2,2,0,4,1,0,0,40,30,0
4439,51,3,43878,10,16,0,10,1,4,1,0,0,50,37,1
4441,49,2,83444,9,13,2,10,0,4,1,0,0,85,37,1
4443,47,3,117310,11,9,4,7,1,4,0,0,1876,48,37,0
4446,40,3,184804,12,14,0,8,1,4,0,0,2205,45,37,0
4447,30,0,547931,15,10,4,0,4,2,0,0,0,40,37,0
4449,47,1,182313,12,14,2,8,0,4,1,0,0,50,37,0
4450,28,1,169069,11,9,4,9,1,4,1,0,0,40,37,0
4456,46,3,149337,15,10,2,2,0,4,1,0,0,55,37,0
4465,50,4,53497,12,14,2,8,0,4,1,0,0,46,37,1
4468,56,4,104447,15,10,0,0,1,4,0,0,2339,40,37,0
4471,38,3,349951,11,9,2,10,0,4,1,4508,0,55,37,0
4473,32,4,308955,7,12,2,8,0,4,1,0,0,20,37,0
4475,19,4,116385,7,12,4,0,3,4,0,0,0,18,37,0
4476,37,4,172425,11,9,0,7,4,4,0,0,0,40,37,0
4480,35,2,242080,9,13,2,8,0,4,1,7298,0,45,37,1
4482,43,3,207578,10,16,2,8,0,4,1,0,0,42,37,1
4488,49,1,204377,1,7,0,7,3,4,0,0,0,60,37,0
4489,38,1,189614,15,10,2,0,5,4,0,0,0,40,37,0
4492,34,1,174215,12,14,2,8,5,4,0,7688,0,35,37,1
4497,58,4,185338,9,13,6,11,4,4,0,0,0,40,37,1
4505,51,2,304955,11,9,2,3,0,4,1,7688,0,50,37,1
4517,45,3,123681,14,15,2,8,0,4,1,0,0,40,37,1
4518,64,1,181628,11,9,2,8,5,4,0,0,0,20,37,0
4523,46,3,112485,11,9,0,7,4,4,0,0,0,40,37,0
4526,28,4,187746,9,13,4,8,1,4,0,0,1669,40,37,0
4529,61,3,127198,11,9,2,2,0,4,1,0,0,40,10,0
4531,30,3,143078,9,13,0,10,1,4,1,0,2444,55,37,1
4532,70,3,177806,8,11,2,4,0,4,1,0,0,40,37,0
4533,30,1,210926,6,5,0,4,4,4,0,0,0,40,24,0
4536,41,3,170785,2,8,0,2,4,4,1,0,0,40,37,0
4540,30,1,19302,11,9,2,2,0,4,1,4386,0,70,10,1
4543,51,4,128260,9,13,2,8,0,2,1,0,0,40,37,1
4551,58,4,139736,11,9,4,0,1,4,1,0,1741,40,37,0
4552,28,1,136643,12,14,4,8,1,4,0,0,0,50,37,0
4553,43,1,180572,9,13,4,8,1,4,0,0,0,40,37,1
4554,40,4,148805,9,13,4,3,3,4,0,0,0,40,37,0
4562,35,3,346605,15,10,0,7,4,4,0,0,0,20,37,0
4565,44,3,55844,9,13,2,10,0,4,1,0,0,45,37,1
4568,42,4,101950,9,13,4,3,1,4,0,0,0,38,37,0
4576,38,4,142282,9,13,4,8,1,4,0,0,0,40,37,0
4577,28,4,266855,9,13,2,9,0,4,1,0,0,50,37,1
4579,40,4,21189,9,13,0,0,2,2,0,0,0,32,37,0
4586,32,4,113129,9,13,2,0,0,4,1,0,0,38,37,1
4589,67,2,22313,15,10,2,10,0,4,1,20051,0,40,37,1
4599,40,3,163512,4,3,2,2,0,3,1,0,0,8,12,0
4613,30,4,103651,9,13,2,8,0,4,1,0,0,40,37,0
4614,43,3,138872,11,9,2,3,0,4,1,0,0,50,37,0
4616,37,1,175979,9,13,0,8,2,4,0,0,0,60,37,0
4617,59,1,53612,12,14,5,8,3,2,0,0,0,35,37,0
4618,18,1,28357,11,9,4,0,3,4,0,0,0,40,37,0
4622,55,1,30636,11,9,2,2,0,4,1,4386,0,40,37,1
4623,47,1,274657,11,9,2,7,2,4,1,3908,0,40,37,0
4626,46,0,260549,15,10,2,0,0,4,1,0,0,80,37,1
4630,43,0,190020,9,13,2,8,0,4,1,0,0,40,37,1
4633,52,0,197515,11,9,2,9,0,4,1,0,0,40,37,0
4644,21,2,95997,15,10,4,4,3,4,1,0,0,60,37,0
4652,37,1,170861,9,13,4,8,1,4,0,0,0,45,37,0
4657,28,0,19522,15,10,4,11,4,0,0,0,0,40,37,0
4659,54,1,105788,12,14,0,8,4,2,0,0,0,37,37,1
4665,31,0,206857,11,9,4,0,1,4,0,0,0,40,37,0
4672,57,4,222792,15,10,2,0,5,4,0,0,0,40,37,1
4678,31,1,314375,15,10,2,9,0,4,1,0,0,30,37,0
4679,41,1,120277,9,13,2,8,0,4,1,0,0,35,37,1
4681,59,1,251890,0,6,6,7,1,4,0,0,0,25,31,0
4684,50,4,263200,8,11,0,0,4,4,0,0,0,40,6,0
4685,52,3,92469,15,10,0,8,1,4,0,0,0,32,37,0
4689,50,1,258819,15,10,0,9,1,4,1,0,0,40,37,0
4692,57,3,112772,11,9,2,2,0,4,1,0,0,60,37,0
4693,49,3,34845,8,11,0,12,1,4,1,0,0,48,37,0
4698,57,0,47534,12,14,0,3,1,4,0,0,0,60,37,1
4701,41,2,56019,14,15,2,8,0,1,1,99999,0,50,17,1
4704,62,0,52765,6,5,0,7,4,4,0,0,0,40,37,0
4705,19,2,136848,11,9,4,7,3,4,1,0,0,6,37,0
4707,19,3,215493,11,9,4,11,3,4,1,0,0,20,37,0
4710,44,3,96921,15,10,4,0,1,4,0,0,0,45,37,0
4711,53,1,202420,5,4,2,12,0,2,1,0,0,40,37,0
4716,39,0,72887,15,10,2,3,0,1,1,0,0,40,37,1
4717,23,1,237498,11,9,4,9,1,4,1,0,0,45,37,0
4718,28,3,228043,9,13,4,10,1,4,0,0,0,48,37,0
4723,21,3,87169,11,9,4,4,3,1,1,0,0,35,37,0
4730,37,3,98941,14,15,2,8,0,4,1,7688,0,50,37,1
4732,46,3,97176,15,10,2,3,5,4,0,0,0,50,37,0
4736,38,1,347491,9,13,2,9,0,4,1,0,0,40,37,0
4740,30,4,119197,12,14,0,8,1,0,1,0,0,50,37,0
4758,31,3,206609,0,6,4,12,1,4,1,0,2205,60,37,0
4765,62,3,244953,15,10,6,3,1,4,0,0,0,20,37,0
4772,42,3,34161,14,15,2,8,0,4,1,0,0,40,37,1
4782,60,0,38749,14,15,2,8,0,1,1,99999,0,60,28,1
4790,43,1,203376,12,14,6,8,4,2,0,0,0,40,37,0
4791,31,2,243165,11,9,2,10,0,4,1,0,0,50,37,1
4792,35,2,213008,15,10,2,3,0,4,1,0,0,50,37,0
4798,29,4,48634,9,13,4,9,3,4,0,0,0,40,37,0
4799,30,1,287737,15,10,4,9,1,4,0,3325,0,40,37,0
4806,46,3,115971,6,5,2,10,0,4,1,0,0,40,37,0
4809,55,4,136819,15,10,2,2,0,4,1,0,0,43,37,1
4810,61,3,186000,8,11,6,2,4,4,0,0,0,40,1,0
4815,67,3,176388,15,10,4,8,1,4,0,0,0,50,37,1
4825,37,2,95634,15,10,0,2,4,4,0,0,0,40,1,0
4829,42,1,198028,15,10,2,0,5,4,0,0,0,40,37,1
4839,74,4,193602,15,10,6,3,1,2,1,15831,0,40,37,1
4842,52,3,98642,11,9,2,2,0,4,1,0,0,50,17,1
4848,42,2,201495,15,10,2,3,0,4,1,0,0,40,37,1
4850,35,2,99146,8,11,2,2,0,4,1,0,0,55,37,0
4851,26,4,92795,14,15,4,8,1,4,0,0,0,80,37,0
4852,39,3,54022,15,10,2,6,5,4,0,0,0,40,37,0
4854,39,1,123983,9,13,2,3,0,1,1,0,0,40,17,1
4863,34,2,337995,9,13,0,3,4,2,1,15020,0,50,37,1
4868,40,2,253060,9,13,2,3,0,4,1,0,0,55,37,1
4883,35,3,313132,14,15,2,8,0,4,1,0,0,40,37,1
4884,35,3,103323,15,10,2,2,0,4,1,0,0,40,37,1
4893,39,1,32587,15,10,2,3,0,0,1,0,1485,40,37,1
4901,61,1,224711,9,13,4,8,1,4,0,0,0,63,37,1
4903,37,1,184474,11,9,0,7,4,4,0,2977,0,55,37,0
4906,32,3,178109,0,6,2,3,0,4,1,0,0,55,37,0
4912,55,1,200448,15,10,0,0,1,2,1,0,0,40,37,0
4916,38,1,196673,9,13,2,8,5,4,0,0,0,55,37,0
4920,67,1,102690,9,13,2,3,0,4,1,0,0,20,37,0
4926,41,2,64112,7,12,2,8,0,4,1,15024,0,50,37,1
4928,42,2,325159,9,13,2,3,0,4,1,0,0,50,37,1
4937,54,3,72257,11,9,2,10,0,4,1,0,0,50,37,1
4942,48,0,34998,9,13,2,0,0,4,1,0,0,48,37,1
4943,53,4,41021,12,14,4,8,1,4,0,0,0,46,37,1
4948,55,4,100285,9,13,0,0,1,4,1,10520,0,40,37,1
4950,35,3,99357,9,13,2,8,5,4,0,0,0,40,37,1
4960,49,1,175958,1,7,2,5,0,4,1,0,0,40,20,0
4974,28,3,180928,11,9,4,3,3,4,1,0,0,40,37,0
4977,35,0,179262,11,9,4,0,4,4,0,0,0,40,37,0
4979,53,2,200400,10,16,0,3,1,4,1,0,0,60,37,1
4982,45,1,251786,11,9,4,0,1,4,0,0,0,37,37,0
4985,59,1,170423,11,9,2,7,0,4,1,0,0,40,37,0
4994,53,2,368014,14,15,2,8,0,4,1,0,1977,60,37,1
4996,35,0,191480,9,13,3,3,1,2,1,0,0,40,37,0
5000,38,0,143123,12,14,2,3,0,4,1,0,0,40,37,1
5002,32,4,110171,15,10,2,8,5,4,0,0,1902,40,37,1
5003,43,2,342510,9,13,2,4,5,4,0,0,0,60,37,1
5013,48,2,106232,14,15,2,8,0,4,1,99999,0,48,37,1
5014,27,4,41115,15,10,2,2,0,2,1,0,0,40,37,0
5015,18,3,161245,2,8,4,4,3,4,1,0,0,50,37,0
5016,41,3,37618,7,12,2,2,0,4,1,0,0,60,37,1
5019,33,1,66278,12,14,4,8,1,4,0,0,0,45,37,0
5021,55,3,129786,11,9,2,2,0,4,1,0,0,55,37,0
5025,29,1,370675,12,14,4,8,1,4,0,0,0,50,37,0
5026,39,3,34066,15,10,2,2,0,0,1,0,0,50,37,1
5030,26,2,97952,9,13,4,3,3,4,1,0,0,80,37,0
5034,59,4,173422,5,4,2,2,0,4,1,5013,0,38,37,0
5035,61,4,103575,15,10,0,2,1,4,1,0,0,40,10,0
5038,48,3,102102,1,7,2,2,0,4,1,0,0,55,37,0
5040,28,4,189346,15,10,2,7,0,4,1,0,0,40,37,0
5048,22,3,238917,11,9,4,5,1,4,1,0,0,40,37,0
5049,32,3,220740,11,9,4,2,3,4,1,0,0,60,37,0
5071,54,1,231482,11,9,2,2,0,4,1,0,0,40,30,0
5080,44,3,255543,4,3,2,4,0,4,1,0,0,84,37,1
5081,51,4,367209,10,16,3,8,1,4,1,0,0,70,37,1
5089,40,2,189941,9,13,2,8,0,4,1,3103,0,60,37,1
5090,50,3,143535,12,14,2,8,0,4,1,0,0,40,37,0
5092,57,3,181435,1,7,0,7,4,4,1,4650,0,50,37,0
5096,42,4,184527,15,10,4,3,4,4,0,0,0,45,37,0
5097,41,0,333070,15,10,2,2,0,2,1,0,0,35,37,0
5099,41,3,34037,11,9,2,4,0,4,1,0,0,99,37,0
5100,41,3,123502,15,10,4,10,3,4,1,0,0,40,37,0
5101,29,3,267661,8,11,4,4,1,4,1,0,0,75,37,0
5105,67,3,94809,15,10,6,7,1,4,0,2346,0,33,37,0
5111,44,1,113597,11,9,2,2,0,4,1,0,0,40,37,0
5112,22,0,280567,15,10,4,12,3,4,1,0,0,4,37,0
5114,31,3,134615,15,10,2,8,0,4,1,0,0,50,37,1
5122,24,3,49154,1,7,4,7,4,0,0,0,0,40,37,0
5128,56,4,222745,10,16,2,12,0,4,1,0,0,56,37,0
5130,43,3,61287,9,13,2,3,0,4,1,0,0,60,37,0
5133,44,1,54651,12,14,2,8,0,4,1,0,0,40,37,1
5141,59,4,115439,9,13,2,3,0,4,1,0,1977,40,37,1
5149,23,4,191165,15,10,4,9,1,4,1,0,0,15,37,0
5154,39,2,170502,12,14,0,3,1,2,1,0,0,70,37,1
5161,38,1,173804,9,13,0,8,3,4,0,0,0,38,37,0
5163,56,2,142076,15,10,2,4,0,4,1,0,0,60,37,0
5165,27,1,68729,11,9,2,9,0,1,1,0,0,40,37,1
5167,55,3,183580,12,14,0,3,1,4,1,0,0,45,37,0
5169,57,3,411604,6,5,2,4,0,4,1,0,0,45,24,0
5176,38,1,289653,9,13,2,9,0,4,1,0,1628,48,37,0
5178,38,4,187119,12,14,0,3,1,4,0,0,0,50,37,1
5189,62,0,162876,15,10,2,0,0,4,1,0,0,40,37,0
5197,41,4,29324,11,9,0,0,4,4,0,0,0,45,37,0
5198,38,4,54911,15,10,0,11,4,4,0,0,0,10,37,0
5200,42,4,200294,9,13,0,8,4,4,0,0,0,40,37,0
5204,43,4,99185,9,13,0,8,1,4,0,0,0,40,37,0
5205,47,3,52291,12,14,2,10,0,4,1,7688,0,45,37,1
5207,63,3,388594,14,15,2,8,0,4,1,15024,0,50,37,1
5208,53,1,130730,11,9,0,0,2,4,0,0,0,35,37,0
5212,60,1,168381,8,11,6,0,1,0,0,0,0,40,37,0
5223,64,2,182158,14,15,2,8,0,4,1,99999,0,60,37,1
5226,46,2,132576,11,9,2,10,0,4,1,0,1887,45,37,1
5228,55,2,147098,11,9,0,3,4,4,1,0,2444,60,37,1
5232,27,0,180103,8,11,4,11,4,2,1,1151,0,40,37,0
5236,32,3,220148,11,9,2,3,0,4,1,0,0,40,37,0
5237,44,2,63503,9,13,2,10,0,4,1,0,0,60,11,1
5241,77,3,101575,2,8,0,12,1,4,1,0,0,12,37,0
5248,52,4,108836,9,13,2,9,0,4,1,0,0,48,37,1
5250,48,1,204629,10,16,2,8,0,4,1,15024,0,45,1,1
5254,61,1,257105,15,10,0,2,4,4,1,0,0,40,37,0
5258,30,0,243233,15,10,2,1,0,4,1,0,0,48,37,1
5265,45,2,363298,9,13,2,3,0,2,1,0,0,45,37,1
5269,40,3,308296,11,9,0,7,3,4,0,0,0,40,37,0
5271,51,3,195634,12,14,4,3,1,4,1,10520,0,20,37,1
5272,31,0,180656,11,9,4,0,3,4,1,0,0,35,37,0
5274,24,1,56820,9,13,4,8,1,4,1,0,0,40,37,0
5276,28,3,160731,9,13,2,4,0,4,1,0,0,50,37,0
5279,39,4,372130,12,14,2,8,0,2,1,5013,0,56,37,0
5288,24,4,138513,9,13,4,8,1,4,1,0,0,20,37,0
5302,52,1,266433,15,10,6,11,4,4,0,0,0,40,37,0
5305,49,3,228399,11,9,0,6,4,2,0,0,0,40,37,0
5307,75,2,126225,11,9,2,3,0,4,1,0,0,40,37,1
5309,22,2,437161,11,9,4,0,4,2,0,0,0,40,37,0
5310,43,0,183608,11,9,0,0,1,2,0,0,0,40,37,0
5311,40,1,174395,9,13,2,3,0,4,1,0,0,60,37,1
5315,33,1,352277,15,10,2,0,0,4,1,3103,0,45,37,1
5319,27,2,217848,2,8,2,0,0,4,1,0,0,40,37,1
5321,35,4,190759,12,14,4,0,1,4,1,0,0,40,37,0
5322,59,4,109567,15,10,2,3,0,4,1,0,0,40,37,1
5323,19,3,209826,15,10,4,4,3,4,0,0,0,32,37,0
5326,35,2,126738,7,12,4,4,3,4,1,0,0,50,37,0
5334,19,3,139278,11,9,4,10,3,4,1,0,0,20,37,0
5336,25,0,303704,7,12,0,0,1,4,0,0,0,40,37,0
5341,23,4,340605,9,13,4,0,1,4,0,0,0,12,37,0
5344,34,3,208068,6,5,2,2,0,3,1,0,0,40,12,0
5352,31,3,163845,11,9,0,7,4,4,0,0,0,40,37,0
5354,30,4,252818,15,10,4,8,1,4,0,0,0,40,37,0
5355,56,1,114231,0,6,6,7,4,4,0,0,0,25,37,0
5362,37,4,180667,11,9,2,9,0,4,1,0,0,40,37,0
5367,34,4,137900,9,13,4,8,1,4,0,0,0,48,37,1
5382,25,1,202300,15,10,4,0,3,4,0,0,0,40,37,0
5387,38,0,365430,11,9,0,2,4,4,1,0,0,40,37,0
5390,53,2,202069,15,10,2,3,5,2,0,0,0,30,37,0
5392,41,2,60414,9,13,2,3,0,4,1,0,0,99,37,1
5395,27,4,222506,9,13,4,8,1,2,0,0,0,60,37,0
5401,41,3,201908,15,10,2,2,0,4,1,0,0,40,37,0
5402,50,1,237868,12,14,2,8,0,4,1,0,0,40,37,0
5406,56,1,137078,12,14,2,8,0,4,1,0,0,40,37,0
5413,45,3,125892,11,9,2,3,0,4,1,0,0,50,37,0
5420,49,1,331650,12,14,0,8,4,4,0,9562,0,32,37,1
5421,50,2,171338,12,14,2,10,0,4,1,15024,0,40,37,1
5422,47,3,178319,14,15,2,8,0,4,1,0,1902,42,37,1
5424,44,3,182653,15,10,4,2,1,4,1,0,0,20,37,0
5429,39,3,169542,15,10,2,2,0,4,1,5178,0,40,37,1
5436,42,1,150533,12,14,2,9,0,4,1,7688,0,35,37,1
5441,53,0,141340,11,9,2,12,0,4,1,0,0,40,37,1
5443,44,1,241506,12,14,0,8,4,4,0,0,0,50,37,0
5445,64,3,104958,5,4,2,2,0,4,1,0,0,70,37,0
5447,51,3,181139,15,10,2,10,0,4,1,0,0,40,37,1
5458,38,2,115487,15,10,0,3,1,4,1,0,0,45,37,0
5463,50,3,203004,11,9,0,3,1,4,0,99999,0,60,37,1
5479,31,1,85057,15,10,2,0,5,0,0,0,0,40,37,1
5484,53,4,121294,5,4,3,7,4,4,0,0,0,45,29,0
5485,49,2,211020,10,16,2,8,0,4,1,15024,0,50,37,1
5487,65,2,116057,11,9,0,10,1,4,0,6723,0,40,37,0
5489,30,1,197886,11,9,2,2,0,4,1,0,0,40,37,0
5493,45,3,87490,14,15,2,8,0,4,1,0,1977,50,37,1
5494,40,1,241851,14,15,2,3,0,4,1,0,0,50,37,1
5497,77,1,120408,15,10,2,9,0,4,1,0,0,20,37,0
5501,43,1,115511,15,10,2,4,0,4,1,0,2002,40,37,0
5506,41,2,153078,11,9,2,3,0,1,1,0,1887,70,33,1
5508,31,3,203181,0,6,2,2,0,4,1,0,0,35,37,0
5511,41,4,92717,15,10,4,0,4,2,0,0,1504,40,37,0
5521,31,1,265706,9,13,4,9,1,4,1,4650,0,40,37,0
5522,65,3,111916,14,15,2,3,0,4,1,0,0,10,37,1
5523,62,4,213700,10,16,0,8,1,4,1,0,0,50,37,0
5528,32,3,24529,15,10,4,2,1,4,1,0,0,50,37,1
5534,54,4,276005,14,15,2,8,0,4,1,0,0,40,37,1
5535,36,2,192251,15,10,2,10,5,4,0,0,1902,15,37,1
5540,41,3,233150,8,11,2,10,0,4,1,0,0,55,37,0
5542,59,0,298449,15,10,2,0,0,4,1,0,0,43,37,0
5550,30,3,96480,12,14,2,8,5,4,0,0,0,60,37,1
5555,36,3,119272,11,9,2,3,0,4,1,0,0,38,37,0
5560,39,3,185366,7,12,2,2,0,4,1,0,0,35,37,1
5564,54,1,137678,11,9,0,7,1,4,0,0,0,30,37,0
5565,48,3,56841,15,10,0,12,1,4,1,0,0,40,37,0
5566,32,3,33124,9,13,4,2,1,4,0,0,0,35,37,0
5575,23,0,244480,15,10,4,0,4,4,0,0,0,15,37,0
5577,37,0,106297,11,9,0,5,4,4,1,0,0,40,37,0
5582,24,1,174413,9,13,4,8,1,4,0,0,1974,40,37,0
5588,56,3,42166,9,13,2,7,0,4,1,0,0,40,37,0
5592,32,3,46746,15,10,2,4,0,4,1,0,0,65,37,0
5599,37,1,105803,12,14,2,3,0,4,1,0,0,40,37,1
5603,56,0,97213,9,13,4,0,1,4,0,0,0,60,37,0
5605,38,4,200904,0,6,5,0,4,2,0,0,0,40,37,0
5609,25,1,187792,15,10,0,9,1,4,0,0,0,40,37,0
5614,25,1,315287,15,10,4,9,2,2,1,0,0,40,36,0
5617,69,3,505365,15,10,2,10,0,4,1,6514,0,45,37,1
5618,22,1,177475,9,13,4,8,1,4,0,0,0,40,37,0
5620,40,3,36104,15,10,2,2,0,4,1,0,0,40,37,0
5621,33,2,179708,15,10,2,2,0,4,1,0,0,40,37,0
5622,51,2,77392,0,6,2,4,0,4,1,0,0,60,37,1
5624,59,1,173992,11,9,5,0,4,4,0,0,0,35,37,0
5637,39,1,282461,8,11,2,9,0,4,1,0,0,40,37,1
5657,27,0,409815,15,10,0,0,2,2,0,0,0,50,37,0
5662,46,3,142222,15,10,5,3,4,4,0,1151,0,60,37,0
5663,50,1,120521,15,10,2,3,0,0,1,0,0,50,37,1
5664,43,3,247752,12,14,2,10,0,4,1,0,0,60,37,0
5674,45,3,244813,14,15,2,8,0,4,1,0,0,38,37,1
5678,57,3,291167,15,10,2,2,0,4,1,0,0,40,37,0
5685,38,1,156383,15,10,4,9,4,2,0,0,0,40,37,0
5687,41,1,249039,11,9,5,0,4,4,0,0,0,40,37,0
5688,52,0,157454,11,9,4,6,1,4,0,0,0,40,37,0
5690,72,4,120733,5,4,6,7,4,2,0,0,0,40,37,0
5697,48,0,102359,11,9,2,0,0,4,1,0,0,40,37,0
5698,42,1,298885,11,9,0,3,4,4,1,0,0,40,37,0
5702,39,2,31709,15,10,2,0,5,4,0,0,0,20,37,1
5705,36,2,132879,12,14,2,11,0,4,1,0,1887,40,37,1
5709,31,1,393965,11,9,0,0,1,4,0,0,0,8,37,0
5710,23,1,117789,8,11,4,8,1,4,0,0,0,50,37,0
5711,35,3,134498,15,10,4,3,3,4,1,0,0,45,37,1
5719,50,2,249644,11,9,2,3,0,4,1,0,0,50,37,1
5722,59,3,198145,14,15,2,8,0,4,1,0,0,35,37,1
5730,56,3,306633,8,11,2,8,0,4,1,0,0,40,37,0
5734,40,1,34739,15,10,2,3,5,4,0,0,0,36,37,0
5737,46,1,85341,12,14,2,8,0,4,1,0,0,56,37,0
5742,62,3,215789,12,14,2,3,0,4,1,0,1977,50,37,1
5744,63,1,199275,11,9,4,3,1,4,0,8614,0,38,37,1
5745,39,3,34111,11,9,2,4,0,4,1,0,0,70,37,0
5747,40,2,102576,12,14,2,8,0,2,1,0,0,55,36,0
5749,47,3,114222,7,12,2,3,0,4,1,0,0,25,37,0
5752,26,3,109162,11,9,2,3,0,4,1,0,0,25,37,0
5762,38,4,87282,8,11,4,0,4,1,0,0,0,40,37,0
5765,59,2,36085,14,15,2,8,0,4,1,15024,0,60,37,1
5771,56,2,220896,11,9,2,3,0,4,1,0,0,40,37,1
5772,57,0,236048,11,9,0,0,4,4,0,0,0,40,37,0
5780,60,1,119986,11,9,2,7,0,4,1,0,0,40,37,0
5781,39,1,455399,11,9,2,9,0,2,1,15024,0,40,37,1
5785,44,4,156642,11,9,0,8,1,4,0,0,0,39,37,0
5788,27,1,100817,9,13,2,8,5,0,0,0,0,40,37,0
5790,37,2,198841,9,13,2,10,0,4,1,0,0,50,37,1
5793,23,4,26842,8,11,1,0,5,4,0,0,0,30,37,0
5796,61,2,190610,9,13,2,10,0,4,1,0,0,45,37,1
5800,51,4,200450,11,9,2,7,0,4,1,0,0,40,37,1
5801,38,1,140854,11,9,2,9,0,4,1,0,0,40,37,1
5803,47,3,294671,11,9,2,10,0,4,1,0,0,55,37,1
5804,20,4,68358,15,10,4,0,3,4,0,0,0,10,37,0
5807,26,3,195636,0,6,4,3,1,4,1,0,0,75,37,1
5813,25,1,311603,9,13,4,8,1,4,0,0,0,55,37,0
5830,46,1,93557,9,13,2,8,0,4,1,3103,0,50,37,1
5835,38,4,49115,15,10,2,0,0,4,1,0,0,27,37,0
5839,56,1,291529,12,14,2,8,0,4,1,0,0,50,37,1
5840,41,3,252392,4,3,2,2,0,4,1,0,0,96,24,0
5854,50,3,91103,11,9,2,2,0,4,1,0,0,51,37,1
5855,57,4,388225,15,10,2,8,0,4,1,0,0,40,37,1
5856,76,3,42162,11,9,6,3,1,4,0,0,0,2,37,0
5857,52,3,417227,11,9,2,12,0,4,1,0,0,70,37,0
5858,36,4,180220,11,9,2,3,0,4,1,0,0,50,37,0
5861,51,0,68898,15,10,2,3,0,4,1,0,0,40,37,1
